Time,Height
3.680895726001714996e-01 , 1.234955675477567816e+01
3.753070152001748983e-01 , 1.257842253727503845e+01
3.825244578001782414e-01 , 1.280677745865274630e+01
3.897419004001815845e-01 , 1.303462151890880349e+01
3.969593430001849832e-01 , 1.326195471804321357e+01
4.041767856001883263e-01 , 1.348877705605596944e+01
4.113942282001916695e-01 , 1.371508853294707642e+01
4.186116708001950681e-01 , 1.394088914871653451e+01
4.258291134001984113e-01 , 1.416617890336434016e+01
4.330465560002018099e-01 , 1.439095779689049692e+01
4.402639986002051531e-01 , 1.461522582929500302e+01
4.474814412002084962e-01 , 1.483898300057785669e+01
4.546988838002118949e-01 , 1.506222931073906146e+01
4.619163264002152380e-01 , 1.528496475977861557e+01
4.691337690002185812e-01 , 1.550718934769652080e+01
4.763512116002219798e-01 , 1.572890307449277714e+01
4.835686542002253230e-01 , 1.595010594016737926e+01
4.907860968002286661e-01 , 1.617079794472033427e+01
4.980035394002320648e-01 , 1.639097908815163507e+01
5.052209820002354634e-01 , 1.661064937046129231e+01
5.124384246002388066e-01 , 1.682980879164929178e+01
5.196558672002421497e-01 , 1.704845735171564414e+01
5.268733098002454929e-01 , 1.726659505066034228e+01
5.340907524002488360e-01 , 1.748422188848339331e+01
5.413081950002521792e-01 , 1.770133786518479369e+01
5.485256376002556333e-01 , 1.791794298076454695e+01
5.557430802002589765e-01 , 1.813403723522264599e+01
5.629605228002623196e-01 , 1.834962062855909437e+01
5.701779654002656628e-01 , 1.856469316077389209e+01
5.773954080002690059e-01 , 1.877925483186704270e+01
5.846128506002724601e-01 , 1.899330564183854264e+01
5.918302932002758032e-01 , 1.920684559068839192e+01
5.990477358002791464e-01 , 1.941987467841658699e+01
6.062651784002824895e-01 , 1.963239290502313494e+01
6.134826210002858327e-01 , 1.984440027050803224e+01
6.207000636002891758e-01 , 2.005589677487127886e+01
6.279175062002926300e-01 , 2.026688241811287838e+01
6.351349488002959731e-01 , 2.047735720023282369e+01
6.423523914002993163e-01 , 2.068732112123111833e+01
6.495698340003026594e-01 , 2.089677418110776586e+01
6.567872766003060025e-01 , 2.110571637986275917e+01
6.640047192003094567e-01 , 2.131414771749610537e+01
6.712221618003127999e-01 , 2.152206819400780091e+01
6.784396044003161430e-01 , 2.172947780939784224e+01
6.856570470003194862e-01 , 2.193637656366623645e+01
6.928744896003228293e-01 , 2.214276445681298000e+01
7.000919322003261724e-01 , 2.234864148883807289e+01
7.073093748003296266e-01 , 2.255400765974151867e+01
7.145268174003329698e-01 , 2.275886296952331023e+01
7.217442600003363129e-01 , 2.296320741818345113e+01
7.289617026003396560e-01 , 2.316704100572194136e+01
7.361791452003429992e-01 , 2.337036373213878093e+01
7.433965878003464534e-01 , 2.357317559743397695e+01
7.506140304003497965e-01 , 2.377547660160751519e+01
7.578314730003531396e-01 , 2.397726674465940633e+01
7.650489156003564828e-01 , 2.417854602658964325e+01
7.722663582003598259e-01 , 2.437931444739823306e+01
7.794838008003631691e-01 , 2.457957200708517220e+01
7.867012434003666232e-01 , 2.477931870565046424e+01
7.939186860003699664e-01 , 2.497855454309410206e+01
8.011361286003733095e-01 , 2.517727951941608922e+01
8.083535712003766527e-01 , 2.537549363461642571e+01
8.155710138003799958e-01 , 2.557319688869511509e+01
8.227884564003833390e-01 , 2.577038928165215026e+01
8.300058990003867931e-01 , 2.596707081348753832e+01
8.372233416003901363e-01 , 2.616324148420127571e+01
8.444407842003934794e-01 , 2.635890129379335889e+01
8.516582268003968226e-01 , 2.655405024226379496e+01
8.588756694004001657e-01 , 2.674868832961258036e+01
8.660931120004036199e-01 , 2.694281555583971866e+01
8.733105546004069630e-01 , 2.713643192094520273e+01
8.805279972004103062e-01 , 2.732953742492903615e+01
8.877454398004136493e-01 , 2.752213206779121535e+01
8.949628824004169925e-01 , 2.771421584953174744e+01
9.021803250004203356e-01 , 2.790578877015062886e+01
9.093977676004237898e-01 , 2.809685082964786673e+01
9.166152102004271329e-01 , 2.828740202802345038e+01
9.238326528004304761e-01 , 2.847744236527737982e+01
9.310500954004338192e-01 , 2.866697184140966570e+01
9.382675380004371624e-01 , 2.885599045642029026e+01
9.454849806004406165e-01 , 2.904449821030927481e+01
9.527024232004439597e-01 , 2.923249510307660870e+01
9.599198658004473028e-01 , 2.941998113472228482e+01
9.671373084004506460e-01 , 2.960695630524631738e+01
9.743547510004539891e-01 , 2.979342061464869218e+01
9.815721936004573323e-01 , 2.997937406292942342e+01
